profile_name,likely_faculty,total_citations,papers,first_year,top_venue,scholar_profile
Sumi Cho,yes,10168,31,1989,"Signs: Journal of Women in Culture and Society 38, 785-810",https://scholar.google.com/citations?user=RHjfN4IAAAAJ&hl=en
christopher keys,yes,10134,223,1971,American Psychological Association,https://scholar.google.com/citations?user=8xw_JM0AAAAJ&hl=en
deena weinstein,yes,6018,133,1971,"Metal Rules the Globe: Heavy Metal Music Around the World, 3",https://scholar.google.com/citations?user=3b9snJAAAAAJ&hl=en
Ralph Erber,yes,5798,69,1982,Oxford University Press,https://scholar.google.com/citations?user=MwdS9_gAAAAJ&hl=en
"Antonio Polo, Ph.D.",yes,5397,47,1997,Society for Prevention Research 28th Annual Meeting,https://scholar.google.com/citations?user=44DiHewAAAAJ&hl=en
Peter Hastings,yes,5010,113,1991,Proceedings of the Annual Meeting of the Cognitive Science S,https://scholar.google.com/citations?user=r-U50JwAAAAJ&hl=en
Enid Montague,yes,4862,150,2004,Proceedings of the Human Factors and Ergonomics Society Annu,https://scholar.google.com/citations?user=y6yxBkEAAAAJ&hl=en
AZAM NIKNAFS,yes,4746,10,2012,R package version 1,https://scholar.google.com/citations?user=K3UI05MAAAAJ&hl=en
"Christine Reyna, Ph.D.",yes,4232,59,1997,Journal of Personality and Social Psychology,https://scholar.google.com/citations?user=LTTGoWsAAAAJ&hl=en
Fernando De Maio,yes,3371,91,2004,APHA's 2020 VIRTUAL Annual Meeting and Expo (Oct. 24-28),https://scholar.google.com/citations?user=tPMX_3YAAAAJ&hl=en
Midge Wilson,yes,3186,29,1976,Anchor,https://scholar.google.com/citations?user=f4AOYSoAAAAJ&hl=en
Martha A. Martinez,yes,2948,40,1992,University of Notre Dame,https://scholar.google.com/citations?user=HHMqVQgAAAAJ&hl=en
Rachel (Shelly) S. Rauvola,yes,2747,43,2016,Saint Louis University,https://scholar.google.com/citations?user=1ANFTW8AAAAJ&hl=en
Morag Kersel (ORCID 0000-0002-9254-0957),yes,2471,183,1918,Journal of Eastern Mediterranean Archaeology & Heritage Stud,https://scholar.google.com/citations?user=p3pqpMoAAAAJ&hl=en
Abigail A Brown,yes,2468,69,1961,Journal of prevention & intervention in the community 43 (1),https://scholar.google.com/citations?user=N7sK45EAAAAJ&hl=en
William Cody,yes,2373,90,1989,Illuminations: The human becoming theory in practice and res,https://scholar.google.com/citations?user=wtcb3CAAAAAJ&hl=en
Douglas Bruce,yes,2042,32,2003,"AIDS patient care and STDs 17 (5), 235-244",https://scholar.google.com/citations?user=-DoCU58AAAAJ&hl=en
Daniel Mittleman,yes,1958,38,1995,Proceedings of the 32nd Annual Hawaii International Conferen,https://scholar.google.com/citations?user=i2LCRtUAAAAJ&hl=en
Nicole Porter,yes,1957,70,2005,ADDICTION SCIENCE & CLINICAL PRACTICE 15 (SUPPL 2),https://scholar.google.com/citations?user=T1FLWAcAAAAJ&hl=en
Ronald Fernandes,yes,1919,20,1999,Carnegie Mellon University,https://scholar.google.com/citations?user=MgJeHiUAAAAJ&hl=en
Roberta Garner,yes,1901,84,1977,University of Toronto Press,https://scholar.google.com/citations?user=5JFAPMYAAAAJ&hl=en
Richard Schaefer,yes,1811,96,1931,Prentice Hall,https://scholar.google.com/citations?user=w-ORXLYAAAAJ&hl=en
Vladimir Mukharlyamov,yes,1686,15,2012,National Bureau of Economic Research,https://scholar.google.com/citations?user=gt0ylGQAAAAJ&hl=en
Nikki Hariri,yes,1665,21,2009,2009 13th IEEE/ACM International Symposium on Distributed Si,https://scholar.google.com/citations?user=WEi2xuYAAAAJ&hl=en
"Geoffrey Wiseman, Professor and Endowed Chair in Applied Diplomacy",yes,1584,74,1975,Concepts of Non-Provocative Defence: Ideas and Practices in ,https://scholar.google.com/citations?user=Nho3aWQAAAAJ&hl=en
yiu por (vincent) chen,yes,1448,108,1991,Social Capital and Business Development in High-Technology C,https://scholar.google.com/citations?user=48UAMX0AAAAJ&hl=en
Gregory Kharas,yes,1413,255,1973,"Journal of Macromolecular Science, Part A: Pure and Applied ",https://scholar.google.com/citations?user=x-HUa5MAAAAJ&hl=en
Joan C. Junkus,yes,1409,29,1983,Financial Derivatives: Pricing and Risk Management; R. Kolb ,https://scholar.google.com/citations?user=M0w2zGYAAAAJ&hl=en
Jeffrey Bergen,yes,1367,101,1981,CRC Press,https://scholar.google.com/citations?user=nP8kaLsAAAAJ&hl=en
